 site_name, latitude, longitude,soil phs:ph
City Park:SCS-05,-34.1065,-117.7486,5
City Park:SCS-05,-34.1065,-117.7486,3
Cleveland ES Soil Site:SCS-01,33.99317,-86.57304,6.5
Soil-01:SCS-01,6.5462,79.6297,6.9
Soil-01:SCS-01,6.5462,79.6297,6.4
Soil-01:SCS-01,6.5462,79.6297,6.8
TECUICHPODCSUELOS:SCS-05,19.3547,-99.0319,8.3
TECUICHPODCSUELOS:SCS-05,19.3547,-99.0319,8.5
Plaza Libertad,-32.616889,-60.160917,6.8
Plaza Moreno,-32.618824,-60.152554,6.6
Plaza San Martín - Pixel 1,-32.621814,-60.158144,4.4
Plaza San Martín - Pixel 2,-32.621874,-60.157913,5.6
Gleba 2:SCS-04,54.1907,18.3914,6.1
Gleba 2:SCS-04,54.1907,18.3914,5.8
GLEBA:SCS-02,54.3167,18.6333,7
GLEBA:SCS-02,54.3167,18.6333,7
GLEBA:SCS-02,54.3167,18.6333,5
ODKRYWKA:SCS-01,50.8162,19.1232,6.3
ODKRYWKA:SCS-01,50.8162,19.1232,5.8
ODKRYWKA:SCS-01,50.8162,19.1232,6
Gleba:SCS-01,50.46196,17.33067,7.5
Gleba:SCS-01,50.46196,17.33067,7.4
Gleba:SCS-01,50.46196,17.33067,7.5
Near the school athletic field - Gimnazjum No 7 Rzeszow:SCS-01,50.1466,22.1738,5.5
MACIEJOW:SCS-01,50.1929,18.4447,7
ENFRENTE DE LA ESCUELA:SCS-02,19.5592,-99.202,7
ON ROYAL COLLEGE SOIL SITE:SCS-01,6.5428,79.5154,7.8
ON ROYAL COLLEGE SOIL SITE:SCS-01,6.5428,79.5154,8.2
ON ROYAL COLLEGE SOIL SITE:SCS-01,6.5428,79.5154,7.9
RCSS -02:SCS-02,6.5427,79.5147,8.3
RCSS -02:SCS-02,6.5427,79.5147,8.5
RCSS -02:SCS-02,6.5427,79.5147,8.5
Smith one:SCS-01,33.23384,-87.59048,5
Noordik Almelo2!:SCS-02,52.369,6.66123,7
Noordik Almelo2!:SCS-02,52.369,6.66123,6
Noordik Almelo2!:SCS-02,52.369,6.66123,7.7
Noordik Almelo3!:SCS-03,52.369,6.66123,7
Noordik Almelo3!:SCS-03,52.369,6.66123,7
Noordik Almelo3!:SCS-03,52.369,6.66123,7.3
Noordik Almelo:SCS-01,52.369,6.66123,7
Noordik Almelo:SCS-01,52.369,6.66123,7.3
Noordik Almelo:SCS-01,52.369,6.66123,7
Westland,52.032877,4.224495,7.4
Daphne East PJ Soil:SCS-01,30.6111,-87.8689,5.5
Site4,19.88672,99.80438,5
Site4,19.88672,99.80438,5
Site6,19.886789,99.804471,5
Site6,19.886789,99.804471,5
Site-7,19.886755,99.80436,5
Site-7,19.886755,99.80436,5
Site8,19.886913,99.80453,5
Site8,19.886913,99.80453,5
DV PIT:SCS-01,31.47737,-106.34875,7
SDS SITE:SCS-01,12.6877,100.8956,6.4
SDS SITE:SCS-01,12.6877,100.8956,8.1
SDS SITE:SCS-01,12.6877,100.8956,8.2
SDS SITE:SCS-01,12.6877,100.8956,8.1
SDS SITE:SCS-01,12.6877,100.8956,7.7
รร.ดอนคาวิทยา_1,14.479942,99.938245,7.4
ei  bio site:SCS-03,41.826,-73.9472,6
ei  bio site:SCS-03,41.826,-73.9472,6.5
ei  bio site:SCS-03,41.826,-73.9472,7
ei  bio site:SCS-03,41.826,-73.9472,7
School Location:SCS-01,41.745,-73.8884,4.5
School Location:SCS-01,41.745,-73.8884,4.6
School Location:SCS-01,41.745,-73.8884,4.6
School Location:SCS-01,41.745,-73.8884,5.6
Dimond Park by Scout Hut,37.805142,-122.215946,7
Pinole Creek: Library,37.5934,-122.174,6
Pinole Creek: Library,37.5934,-122.174,6.5
Pied du Mont Chemin 2:SCS-03,46.1015,7.0695,5.9
Pied du Mont Chemin 2:SCS-03,46.1015,7.0695,4.8
Pied du Mont Chemin 2:SCS-03,46.1015,7.0695,4.6
Pied du Mont Chemin:SCS-01,46.0963,7.0818,7
Pied du Mont Chemin:SCS-01,46.0963,7.0818,7.2
Pied du Mont Chemin:SCS-01,46.0963,7.0818,6.2
Edgewood:SCS-01,33.22241,-86.83224,5.5
EBS Soil Moisture and Temperature:SCS-01,38.9376,-77.0449,5.8
EBS Soil Moisture and Temperature:SCS-01,38.9376,-77.0449,4.3
EBS Soil Moisture and Temperature:SCS-01,38.9376,-77.0449,4.2
EBS Soil Moisture and Temperature:SCS-01,38.9376,-77.0449,5.5
ECOCAMP:SCS-01,-32.43,-60.44,8
ECOCAMP:SCS-01,-32.43,-60.44,7.5
ECOCAMP:SCS-01,-32.43,-60.44,7.1
ECOCAMP:SCS-01,-32.43,-60.44,7.5
PATIO ESCUELA 2:SCS-01,-35.3,-58.44,7.2
PATIO ESCUELA 2:SCS-01,-35.3,-58.44,7.6
PATIO ESCUELA 2:SCS-01,-35.3,-58.44,7.2
Fivelpoort:SCS-01,53.1816,6.5124,5.3
Fivelpoort:SCS-01,53.1816,6.5124,5.7
Fivelpoort:SCS-01,53.1816,6.5124,6
Edukativna staza Obrtnička škola Dubrovnik,42.64758,18.0886,6.5
KAMP 2,42.6613,18.06846,6.5
MONTOVJERNA 2 N,42.649964,18.086907,6.5
Pedosfera Montovjerna,42.6482,18.0886,7.2
Pedosfera Montovjerna,42.6482,18.0886,7
Škola pedosfera,42.649677,18.089933,6.5
Borik zavoj,44.1387,15.2272,7
Borik zavoj,44.1387,15.2272,7
Borik zavoj,44.1387,15.2272,7
Iskop Plovanija,44.12774,15.2436,6
Iskop Plovanija,44.12774,15.2436,6
Iskop Plovanija,44.12774,15.2436,6
Kašić,44.127002,15.243438,6.5
Kašić,44.127002,15.243438,6.5
Kašić,44.127002,15.243438,7
Plovanija 2,44.126774,15.242834,7
Plovanija 2,44.126774,15.242834,8
Plovanija 2,44.126774,15.242834,7
Plovanija - raskršće,44.12714,15.248082,7
Plovanija - raskršće,44.12714,15.248082,8
Plovanija - raskršće,44.12714,15.248082,7
Put Dikla,44.135914,15.216837,7
Put Dikla,44.135914,15.216837,8
Put Dikla,44.135914,15.216837,7
Supernova,44.11506,15.270708,7
Supernova,44.11506,15.270708,8
Supernova,44.11506,15.270708,8
